Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,218600,238600,209600,263900,167400,140200
Feb 2005,99.8,99.7,99.9,99.7,99.8,100.3,218200,238000,209400,263100,167100,140600
Mar 2005,99.8,99.8,100,99.6,99.3,100.7,218200,238100,209700,262900,166300,141200
Apr 2005,99.5,99.5,100,99.4,99,100,217500,237500,209600,262200,165800,140200
May 2005,99.1,99.4,99.9,99,98,99.6,216600,237100,209300,261300,164100,139700
Jun 2005,99.5,99.8,100.1,99.5,98.3,99.4,217400,238100,209800,262700,164600,139400
Jul 2005,100.4,100.9,101.2,100.6,98.6,100.6,219400,240800,212100,265600,165100,141100
Aug 2005,102,102.7,103,102.4,100.1,101.6,223000,245100,215800,270300,167500,142400
Sep 2005,104.4,105.2,105.4,105,102.2,103.3,228200,251100,221000,277000,171000,144800
Oct 2005,107.6,108.7,108.6,108.5,105,105.2,235200,259400,227700,286400,175700,147500
Nov 2005,111.3,112.5,112.4,112.3,108.5,108.2,243200,268500,235600,296300,181700,151700
Dec 2005,114.6,115.5,115.3,115.5,112.2,112.2,250500,275700,241700,304900,187800,157300
Jan 2006,119.6,121.1,120.2,121.3,116.3,116.5,261500,288900,252000,320200,194700,163400
Feb 2006,124.7,126.1,124.7,126.7,121.7,122,272500,300800,261300,334400,203700,171000
Mar 2006,129.9,131.3,129.5,132.2,127.1,128.9,283900,313200,271400,348800,212700,180700
Apr 2006,136,137.4,135.3,138.5,133.6,135,297400,327900,283500,365500,223600,189200
May 2006,142.8,143.9,141.6,145.1,142.4,145.2,312100,343300,296700,382900,238300,203600
Jun 2006,149.7,150.4,148.4,151.4,151,155.3,327300,358900,311100,399600,252700,217800
Jul 2006,154.8,155.6,153.4,156.7,157.5,162.4,338500,371200,321600,413500,263600,227700
Aug 2006,159.3,159.8,158.2,160.6,162.6,168.8,348200,381300,331600,423800,272200,236600
Sep 2006,161.8,161.9,160.1,162.9,166.7,174.5,353700,386300,335500,429800,279000,244600
Oct 2006,163.6,163.4,162.2,164,170,177.2,357600,389900,339900,432700,284500,248500
Nov 2006,165,164.8,162.9,165.6,171.8,179.6,360700,393100,341400,437100,287600,251800
Dec 2006,167.3,166.9,166.2,167.1,174.7,181.2,365800,398200,348300,441100,292400,254100
Jan 2007,169.4,169.1,168.8,168.8,177.8,184.3,370200,403400,353900,445500,297600,258400
Feb 2007,171.6,171.5,171.4,171,179.7,187.6,375200,409200,359200,451300,300900,263000
Mar 2007,174.1,174,174.3,173.1,183.3,189.8,380500,415100,365300,456800,306800,266100
Apr 2007,175.8,175.7,175.5,174.9,184.8,192.2,384300,419200,367900,461500,309300,269400
May 2007,177.6,177.5,177.8,176.5,187,194.6,388200,423600,372700,465700,313000,272800
Jun 2007,178.6,178.4,179,177.2,188.9,195.9,390400,425700,375100,467500,316200,274600
Jul 2007,179.7,179.7,179.9,178.6,190.7,197.1,392900,428700,377000,471200,319200,276300
Aug 2007,180.2,180,179.9,179.2,191.5,197.6,394000,429500,377000,473000,320500,277000
Sep 2007,180.9,180.9,181.2,179.8,191.9,197.2,395500,431700,379700,474500,321200,276500
Oct 2007,180.6,180.6,180.6,179.5,191.6,197.7,394900,430800,378600,473700,320700,277200
Nov 2007,180.1,179.8,180.6,178.3,191.9,198.4,393800,429100,378600,470600,321200,278200
Dec 2007,179,178.5,179.2,177.2,191.1,197.6,391400,426000,375500,467500,319900,277100
Jan 2008,179,178.7,178.1,177.9,190.9,198.4,391400,426400,373200,469600,319500,278200
Feb 2008,177.7,177.5,177.2,176.5,189.8,195.8,388500,423600,371400,465700,317800,274500
Mar 2008,175.9,175.7,175,174.8,188.2,193.2,384600,419200,366800,461300,315100,270900
Apr 2008,173.9,173.6,173.6,172.3,186.6,191.7,380100,414200,363800,454700,312400,268800
May 2008,171.2,170.9,170.1,170,183.9,188.9,374300,407700,356500,448600,307800,264900
Jun 2008,169,168.7,167.8,167.9,181.3,185.8,369500,402400,351700,443000,303500,260500
Jul 2008,166.8,166.7,165.7,165.9,178.9,181.7,364700,397700,347400,437700,299400,254800
Aug 2008,166.2,166.3,165.4,165.3,177.4,179.6,363300,396700,346700,436300,296900,251800
Sep 2008,165.7,166,164.5,165.3,176.8,176.8,362200,396100,344800,436300,295900,247900
Oct 2008,164.6,164.8,163.1,164.3,176,176,359800,393300,341900,433700,294600,246800
Nov 2008,163.4,163.7,161.4,163.7,174.9,174,357200,390600,338200,432100,292700,243900
Dec 2008,161.3,161.4,160.2,160.7,173.1,172.4,352700,385200,335800,424100,289700,241700
Jan 2009,157.7,157.7,155.5,157.4,170.2,169.2,344700,376300,326000,415400,284900,237200
Feb 2009,155.5,155.4,153.2,155.1,169.1,166.8,339900,370700,321200,409200,283100,233800
Mar 2009,153.3,153.4,151.6,152.8,164.6,164.2,335100,365900,317700,403200,275500,230200
