Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,208600,212400,204600,214900,163500,162400
Feb 2005,100,100,99.7,100.2,100.3,100.2,208700,212400,204000,215300,164000,162700
Mar 2005,100.7,100.7,100.5,100.9,100.7,100.4,210000,213800,205700,216900,164600,163000
Apr 2005,100.5,100.4,102.5,99.9,101.1,100.6,209600,213300,209700,214700,165300,163300
May 2005,101,100.9,103.5,100.5,101.5,100.7,210600,214400,211800,215900,165900,163500
Jun 2005,101.9,101.9,104,101.5,101.8,100.9,212500,216500,212700,218100,166500,163800
Jul 2005,103.1,103.2,104.2,102.8,102.1,101,215000,219100,213100,220900,167000,164100
Aug 2005,101.9,101.8,103.1,101.5,102.4,101.2,212500,216300,211000,218100,167500,164400
Sep 2005,102.5,102.5,104.4,102,102.8,101.4,213900,217800,213700,219300,168000,164600
Oct 2005,103.1,103.1,105,102.7,103,101.5,215000,219000,214800,220800,168400,164900
Nov 2005,106.7,107,107.4,107.1,103.3,101.7,222500,227300,219700,230100,168900,165200
Dec 2005,105.4,105.5,106.7,105.3,103.5,101.9,219800,224100,218400,226200,169200,165500
Jan 2006,103.4,103.4,106.7,102.3,103.3,102.1,215700,219600,218300,219800,168900,165800
Feb 2006,105.9,106.2,107,105.9,102.9,102.2,221000,225500,219000,227500,168200,166000
Mar 2006,107.1,107.4,110.1,106.6,102.6,102.4,223400,228100,225300,229100,167800,166300
Apr 2006,107.5,107.8,109.6,107.3,102.2,102.6,224200,228900,224300,230600,167100,166600
May 2006,107.4,107.8,107.7,108.2,101.9,102.8,224100,228900,220400,232500,166600,166900
Jun 2006,105.8,106,109.1,105.2,101.5,103,220600,225100,223200,226100,166000,167200
Jul 2006,104.7,104.9,106.8,104.2,101.3,102.8,218500,222900,218600,224000,165700,167000
Aug 2006,106.3,106.6,107.7,106.3,101,102.7,221700,226400,220300,228400,165200,166800
Sep 2006,106.4,106.7,108.7,106.2,100.7,102.6,222000,226700,222400,228300,164700,166600
Oct 2006,108.1,108.6,110.7,108.2,100.5,102.5,225600,230700,226500,232500,164300,166400
Nov 2006,106.4,106.7,107,106.8,100.2,102.3,221900,226700,219000,229500,163800,166200
Dec 2006,107.4,107.8,109.3,107.4,99.8,102.2,224000,229000,223700,230900,163100,166000
Jan 2007,108.1,108.5,110,108.1,100.7,103,225600,230500,225000,232200,164700,167200
Feb 2007,108.4,108.8,110.8,108.2,101.5,103.8,226200,231000,226600,232500,166000,168500
Mar 2007,108,108.2,110.2,107.7,102.4,104.5,225200,229900,225400,231500,167400,169700
Apr 2007,109.2,109.5,111.3,109,103.1,105.2,227700,232500,227700,234200,168600,170900
May 2007,109.3,109.7,110.5,109.8,104,106,228100,232900,226100,236000,170000,172200
Jun 2007,111,111.4,113.2,111,104.7,106.8,231600,236600,231600,238600,171200,173500
Jul 2007,111.1,111.4,111.4,111.5,105,107.2,231800,236700,227900,239700,171700,174100
Aug 2007,112.2,112.6,114.6,112.2,105.3,107.6,234100,239200,234500,241100,172200,174800
Sep 2007,112.7,113.1,115.8,112.4,105.6,108.1,235100,240200,237000,241500,172600,175500
Oct 2007,113.7,114.1,116.3,113.5,106,108.5,237200,242300,237900,244000,173300,176200
Nov 2007,114.3,114.8,117.7,113.8,106.2,108.9,238500,243800,240800,244600,173700,176800
Dec 2007,114.1,114.5,116.3,114.1,106.4,109.3,238100,243300,238000,245200,174000,177500
Jan 2008,115.9,116.4,118.6,115.7,107.1,109.9,241800,247200,242600,248600,175100,178400
Feb 2008,114.7,115,115.5,115.1,107.6,109.7,239200,244300,236400,247300,175900,178100
Mar 2008,115.5,115.9,116.2,115.9,107.6,109,241000,246100,237800,249100,176000,177000
Apr 2008,115.4,115.7,115.4,116,108.4,108.8,240700,245800,236100,249200,177200,176700
May 2008,116.6,116.9,118.5,116.8,108.4,108.4,243300,248200,242400,250900,177300,176000
Jun 2008,116.9,117.1,118.9,116.8,108.2,107.8,243800,248800,243200,251000,176900,175000
Jul 2008,116.9,117.2,120.9,116,108.6,107,243900,248900,247400,249300,177600,173800
Aug 2008,115.7,115.9,119.8,114.9,109.4,107,241400,246100,245200,246900,178800,173700
Sep 2008,115.9,116.1,116.8,116.1,110.5,106.3,241800,246600,239000,249500,180600,172600
Oct 2008,115.4,115.5,118.6,114.6,110.8,106,240700,245400,242600,246200,181100,172200
Nov 2008,114.4,114.5,115.4,114.2,111.7,106.3,238700,243200,236100,245500,182600,172600
Dec 2008,114.2,114.3,118.1,113.2,112.5,106.7,238300,242700,241600,243200,183900,173300
Jan 2009,112.4,112.3,115.2,111.5,112.1,105.7,234400,238600,235800,239600,183300,171700
Feb 2009,113.4,113.5,118.4,111.9,111.3,105.5,236500,241000,242200,240500,181900,171300
Mar 2009,114.2,114.4,116.7,113.8,110.5,105.1,238200,243000,238700,244600,180700,170700
Apr 2009,113.4,113.7,116.4,112.9,109.5,104,236600,241400,238100,242600,179100,168900
May 2009,113.4,113.7,116.9,112.9,108.7,103,236500,241500,239200,242700,177700,167200
Jun 2009,114,114.5,114.9,114.5,108.2,103,237800,243100,235000,246100,176900,167300
Jul 2009,115,115.5,116.4,115.5,108.1,103.3,239900,245400,238100,248200,176700,167800
Aug 2009,115.1,115.6,118.5,115,108,103.3,240000,245500,242500,247200,176500,167700
Sep 2009,116.5,117.2,119.2,116.8,108.3,102.7,243100,249000,243900,251100,177000,166800
Oct 2009,115.1,115.7,116.6,115.3,107.8,103,240000,245700,238500,247700,176300,167300
Nov 2009,117.2,118,117.2,118.4,107.8,102.6,244400,250600,239700,254400,176200,166700
Dec 2009,116.9,117.7,116.4,118.5,108.3,102.5,243800,250100,238200,254600,177000,166500
Jan 2010,117.6,118.5,116.7,119.4,108.1,101.6,245300,251700,238800,256500,176700,165000
Feb 2010,118.5,119.7,119.3,120.1,108,99.9,247200,254200,244000,258100,176600,162300
Mar 2010,117.9,119,119.8,119.1,109.1,100.1,245900,252800,245100,255900,178300,162600
Apr 2010,119.5,121,122,120.8,107.7,97.7,249300,257000,249700,259600,176100,158600
May 2010,120.4,122.1,123.9,121.7,108.5,96.2,251100,259300,253600,261500,177400,156300
Jun 2010,120.6,122.3,122.7,122.3,109.5,96.4,251500,259700,251000,262800,179000,156500
Jul 2010,120.2,121.8,125.9,120.8,109.5,97.5,250700,258800,257500,259500,179000,158400
Aug 2010,123.5,125.4,128,124.9,109.8,98.7,257600,266400,261900,268400,179500,160300
Sep 2010,121.4,123.3,122.9,123.6,109.3,99.1,253300,261800,251500,265700,178700,160900
Oct 2010,122.3,124.1,121,124.7,113.3,99.6,255100,263500,247600,267900,185200,161800
Nov 2010,122.3,124,123.4,124.4,114.4,101.3,255200,263400,252400,267300,187000,164500
Dec 2010,124.8,126.8,128,126.6,112.7,101.1,260300,269400,261800,272100,184300,164200
Jan 2011,123.6,125.4,128.3,124.4,113.5,102.7,257800,266300,262400,267400,185500,166800
Feb 2011,124.6,126.2,127.1,126.1,122.9,101,260000,268000,260000,271000,200900,164100
Mar 2011,124.2,125.6,130.7,124.2,124,99.1,259000,266800,267500,267000,202800,160900
Apr 2011,125.6,127.2,127.5,127.1,126.5,98.3,262100,270200,260800,273200,206800,159700
May 2011,125.5,126.9,127.1,127,128.9,99.6,261700,269500,260100,272900,210700,161800
Jun 2011,124.6,125.8,128.5,125.1,129.3,103,260000,267300,263000,268800,211400,167200
Jul 2011,125.4,126.5,126.1,126.9,130.8,103.6,261500,268700,258100,272700,213800,168200
Aug 2011,126.3,127.6,127.8,127.5,131.3,102.4,263500,271000,261500,274000,214700,166300
Sep 2011,124.8,125.9,128.6,125.4,130.6,104.2,260400,267500,263200,269400,213600,169200
Oct 2011,129.4,131.1,132.2,130,129.4,102.4,269900,278400,270500,279300,211600,166300
Nov 2011,128.3,129.9,134.3,128.9,129.2,103.5,267700,276000,274800,276900,211300,168100
Dec 2011,126.7,128.2,132.4,127.1,128.7,103.4,264300,272300,270800,273200,210500,168000
Jan 2012,130.3,132,132.9,131.8,129.5,104.9,271800,280400,271900,283300,211700,170300
Feb 2012,130.1,132,133.3,131.7,126.9,106.8,271400,280300,272700,283100,207500,173400
Mar 2012,131.3,133.1,133.9,133,129.9,105.9,273900,282700,273900,285800,212400,172000
Apr 2012,130.2,131.7,132.8,131.5,132.8,107,271700,279800,271700,282600,217200,173800
May 2012,130.4,131.8,131.5,132,132.8,111.3,272000,279900,269100,283700,217100,180700
Jun 2012,132.2,133.9,135.3,133.6,136.1,104.6,275700,284400,276900,287100,222500,169900
Jul 2012,132.4,134.2,136.1,133.7,138.3,103.3,276200,285000,278400,287400,226200,167700
Aug 2012,133.2,135.1,133,135.6,138.2,102,277900,286900,272200,291400,226000,165700
Sep 2012,134.5,136.3,137.8,136.2,139.2,103.3,280600,289600,282000,292600,227600,167700
Oct 2012,130.8,132.4,137.2,130.2,139.2,100.6,272900,281200,280800,279800,227600,163400
Nov 2012,133.7,135.6,137,135.6,138.8,100.7,278900,288100,280400,291400,226900,163600
Dec 2012,133.5,135.1,138.4,134.2,139.9,106.8,278400,286900,283100,288300,228700,173500
Jan 2013,133.6,135.3,135,135.6,139,103.3,278600,287400,276200,291500,227300,167700
Feb 2013,135.9,137.8,139.9,137.3,140.1,104.2,283400,292600,286300,295000,229000,169300
Mar 2013,136.3,138.2,136.6,138.6,137.4,109.7,284400,293500,279500,297900,224700,178200
Apr 2013,135.8,137.3,138.4,137,140.7,112,283300,291700,283200,294500,230000,181900
May 2013,136,137.3,141.1,136.2,143,114.5,283800,291700,288600,292800,233800,185900
Jun 2013,136.4,137.6,138,137.8,143.2,117.6,284600,292300,282400,296100,234100,191000
Jul 2013,139.7,141.3,141.3,141.7,142.5,117.2,291500,300200,289000,304500,233000,190300
Aug 2013,138,139.1,138.9,139.2,145,115,287900,295500,284200,299200,237000,186800
Sep 2013,140,141.3,143.4,140.9,146.5,115.2,292100,300200,293400,302900,239500,187100
Oct 2013,138.4,139.5,138.7,139.3,145.9,116,288700,296300,283800,299300,238600,188400
Nov 2013,139.3,140.3,145.2,139.2,148.3,118.8,290600,298000,297100,299100,242400,193000
Dec 2013,139.5,140.6,141.8,140.4,150.2,114.2,291000,298700,290100,301800,245600,185500
Jan 2014,142.2,143.5,146.4,142.7,149.1,121.1,296600,304800,299600,306600,243700,196700
