Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,206900,245300,218800,293100,158100,97700
Feb 2005,101.3,101.4,102,100.5,101.2,99.7,209500,248800,223100,294600,160000,97400
Mar 2005,103,103.5,105.2,101,101.9,99.4,213200,253900,230100,296100,161100,97100
Apr 2005,104.1,104.6,106.7,101.6,103.2,99.5,215400,256700,233500,297700,163200,97200
May 2005,104.4,104.9,106.7,102.1,104.1,99.6,216100,257200,233500,299400,164600,97300
Jun 2005,105.4,105.9,108,102.7,105,99.8,218000,259700,236400,301100,166000,97500
Jul 2005,106.5,107,108.8,104.4,106.2,100.4,220400,262500,238100,305900,167900,98100
Aug 2005,107.7,108.3,109.9,105.9,107.4,101.1,222900,265600,240400,310400,169800,98800
Sep 2005,109.1,109.8,111.1,107.5,108.7,101.3,225800,269300,243100,315200,171900,99000
Oct 2005,110.2,110.6,112,108.6,110.4,104.9,228100,271400,245100,318300,174600,102500
Nov 2005,112.2,112.6,115.1,109.7,112.1,108.2,232200,276300,251900,321500,177200,105700
Dec 2005,113.1,113.2,115.4,110.7,114,111.9,234000,277700,252600,324400,180200,109300
Jan 2006,115.7,116.3,119.6,111.7,114.3,113,239400,285200,261700,327500,180700,110400
Feb 2006,117.1,117.8,121.5,112.7,114.8,114.8,242300,289000,265800,330300,181500,112200
Mar 2006,117.9,118.6,122,113.6,115,116.7,244000,290900,267000,333100,181800,114000
Apr 2006,119.1,119.5,122.6,115.3,117.3,118.6,246500,293200,268200,337800,185400,115900
May 2006,121.2,121.6,124.9,117,119.1,120.8,250700,298200,273200,342800,188300,118000
Jun 2006,122.6,123,125.9,118.7,120.9,123.1,253700,301600,275500,347800,191200,120300
Jul 2006,124.5,124.7,127.8,120.1,123,125.7,257600,305800,279700,352100,194400,122800
Aug 2006,126.8,127,130.9,121.6,125,128.4,262300,311500,286300,356300,197600,125400
Sep 2006,128.5,128.6,132.3,123,127.1,130.4,265900,315500,289500,360500,200900,127400
Oct 2006,130.8,130.9,135.2,124.8,129.2,133.3,270600,321100,295800,365900,204200,130200
Nov 2006,132.3,132.3,136.9,126.6,131.1,135.7,273700,324600,299600,371200,207300,132600
Dec 2006,133,132.7,136.6,128.4,133.4,138.7,275100,325600,298800,376300,210900,135500
Jan 2007,134.3,133.8,137.2,129.2,134.5,140.1,277900,328300,300100,378700,212700,136900
Feb 2007,135.6,135,138.6,129.9,136.1,142,280500,331100,303200,380800,215100,138700
Mar 2007,136.8,136,140.1,130.2,137.1,144.1,283000,333700,306500,381700,216800,140800
Apr 2007,139.1,138.3,142.7,132,139.9,147,287800,339200,312300,387000,221200,143600
May 2007,142.8,142.3,148.2,134,142.5,149.6,295400,349000,324200,392800,225300,146200
Jun 2007,143.9,142.9,147.9,135.9,144.9,153,297700,350500,323500,398300,229100,149500
Jul 2007,145,143.6,148.9,136.2,146.9,155.7,300000,352300,325800,399300,232200,152100
Aug 2007,146.3,144.7,150.6,136.5,148.8,158.3,302700,355000,329600,400100,235300,154700
Sep 2007,147.9,146.2,152.3,137.1,150.9,160.1,306100,358600,333200,401900,238600,156400
Oct 2007,149.6,147.9,154.4,139,152.4,162.5,309600,362800,337800,407400,240900,158800
Nov 2007,150.3,148.5,154.8,140.6,153.8,164.9,311000,364300,338800,412200,243200,161100
Dec 2007,152.5,151.2,158.6,142.2,155.3,167.8,315500,370800,347100,416800,245600,163900
Jan 2008,154,152.9,159.3,144,154.6,168.9,318600,375100,348500,422000,244400,165000
Feb 2008,153.1,151.8,156.1,145.5,154.8,170.1,316800,372300,341500,426400,244700,166200
Mar 2008,153.4,152,156.3,145.8,154.4,172.1,317400,372800,341900,427200,244100,168100
Apr 2008,152.2,151.2,156.1,143.7,154.2,169.7,315000,370800,341600,421300,243800,165800
May 2008,149.6,148.2,152.2,142.4,153.9,167.2,309600,363600,333000,417500,243300,163400
