Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,173400,198700,177000,237400,118600,109700
Feb 2005,100.5,100.3,100.2,100.2,99.3,99.5,174200,199300,177400,237800,117800,109100
Mar 2005,100.2,99.9,99.6,100.1,98.5,98.6,173700,198500,176300,237700,116800,108200
Apr 2005,100.1,99.8,99.6,100.3,98.7,99,173600,198300,176300,238000,117100,108600
May 2005,99.5,99.1,99.1,99.4,98.9,99.3,172600,196900,175400,236000,117300,108900
Jun 2005,99.6,99.2,99.4,99.3,98.2,98.7,172700,197100,175900,235800,116500,108300
Jul 2005,100.5,100.3,100.5,100.2,99.2,99.7,174200,199300,177800,237800,117700,109400
Aug 2005,100.9,100.9,101.5,100,99.5,100.1,174900,200500,179600,237500,118000,109800
Sep 2005,101.7,102.3,102.7,101.6,99.7,100.5,176400,203200,181700,241200,118200,110300
Oct 2005,104.3,104.8,105,104.4,101.9,102.6,180900,208200,185900,247900,120900,112500
Nov 2005,106.6,107.1,107.2,107.1,104.4,105.1,184900,212900,189700,254200,123800,115300
Dec 2005,109,109.4,109.3,108.8,106.9,107.3,189000,217300,193500,258300,126800,117700
Jan 2006,111.1,111.6,111.2,112,108.5,108.3,192600,221700,196900,265900,128700,118800
Feb 2006,113.8,114.4,114.1,114.4,110,109.2,197400,227300,201900,271700,130500,119800
Mar 2006,115.7,116.3,116.1,116.3,111.5,109.8,200600,231000,205500,276100,132200,120500
Apr 2006,121.2,121.8,121.5,122.4,116.9,115,210200,242100,215100,290500,138600,126200
May 2006,126.8,127.5,127.6,127.7,122.7,120.4,219800,253300,225800,303100,145500,132100
Jun 2006,132.8,133.7,133.5,134.3,128.2,125.3,230300,265600,236300,318900,152000,137500
Jul 2006,140,140.4,140.5,140.2,138.4,135.1,242800,279000,248700,332800,164200,148200
Aug 2006,147.1,146.9,147.1,146.8,148.7,144.8,255100,291900,260400,348400,176300,158900
Sep 2006,153.5,152.6,152.8,152.6,159.7,155.7,266100,303300,270500,362200,189400,170800
Oct 2006,159,157.6,158.2,156.7,166.5,162.3,275700,313200,280000,372100,197500,178000
Nov 2006,164.1,162.3,163.1,160.7,173.7,169.6,284600,322400,288600,381600,206000,186100
Dec 2006,169.8,167.4,168.9,164.7,181.1,176.9,294500,332700,298900,391000,214800,194100
Jan 2007,175.4,172.5,174.4,169.8,189,184.1,304100,342800,308600,403200,224200,202000
Feb 2007,181.9,178.5,180.7,175.4,197.2,191.4,315500,354700,319900,416400,233900,210000
Mar 2007,188.2,184.4,186.8,181,205.4,198.6,326400,366400,330700,429800,243600,217900
Apr 2007,194.2,190,192.3,187,212.6,206.2,336700,377500,340400,443900,252200,226200
May 2007,199.1,194.3,196.5,191.8,220.2,213.5,345200,386100,347800,455400,261100,234200
Jun 2007,203.4,198,200.3,195.5,227.6,221,352700,393400,354500,464000,269900,242400
Jul 2007,200.5,195,197.3,191.7,225.5,219.5,347700,387500,349200,455200,267400,240800
Aug 2007,198.4,193.1,194.7,191.1,222.7,217.9,344100,383600,344600,453600,264100,239000
Sep 2007,195.7,190.3,192.8,187.5,219.8,216.2,339300,378200,341300,445100,260700,237200
Oct 2007,192.3,187.2,189.4,184,215.3,210.9,333500,371900,335300,436800,255400,231400
Nov 2007,189,184.1,186.3,180.5,211.4,206,327800,365900,329800,428600,250700,226000
Dec 2007,187,182.6,184.6,179.1,207.6,201.4,324300,362900,326800,425200,246200,220900
