Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,358300,543200,425100,605400,291000,219900
Feb 2005,100.4,100.1,100.4,100,100.4,100.8,359600,543700,426700,605400,292300,221700
Mar 2005,100.8,100.1,100.5,100,100.8,102.2,361300,544000,427400,605300,293300,224700
Apr 2005,101.1,100.3,101.1,100.1,101.4,102.8,362100,544900,429700,606100,295200,226100
May 2005,101.5,100.5,101.2,100.3,101.9,103.7,363800,546000,430100,607100,296400,228000
Jun 2005,102.2,100.8,101.4,100.6,102.3,105.2,366100,547700,431000,609000,297700,231400
Jul 2005,103.7,102.4,103.2,102.1,104.1,106.5,371600,556200,438800,618000,302800,234300
Aug 2005,105.2,104,105,103.7,105.7,107.5,377100,564900,446400,627500,307600,236500
Sep 2005,107.4,105.6,106.8,105.2,107.4,112.1,384900,573600,453900,636800,312600,246600
Oct 2005,109,107.3,108.2,107,108.7,113.1,390600,582900,460000,647700,316200,248700
Nov 2005,110.6,109,109.7,108.8,110,114.6,396400,592200,466300,658500,320000,251900
Dec 2005,112.3,110.7,111.2,110.6,111.2,116,402400,601500,472500,669400,323500,255100
Jan 2006,114.1,112.2,112.9,112,113.1,118.6,408800,609700,479800,678200,329000,260900
Feb 2006,115.8,113.7,114.6,113.4,114.8,120.8,414900,617800,487000,686800,334000,265600
Mar 2006,117.2,115.2,116.3,114.8,116.6,122.4,420100,625600,494600,695200,339400,269200
Apr 2006,119,116.8,117.5,116.5,118,124.3,426400,634400,499600,705200,343300,273300
May 2006,120.8,118.5,119.1,118.2,119.9,126.2,432700,643500,506500,715700,348900,277600
Jun 2006,122.5,120.4,120.7,120.2,121.7,127.7,439000,653900,513100,727700,354100,280800
Jul 2006,124,121.7,121.7,121.7,123,129.5,444400,661000,517200,736800,358000,284800
Aug 2006,125.5,123.1,122.6,123.3,124.2,131.3,449700,668600,521000,746300,361500,288800
Sep 2006,126.6,124.4,123.4,124.8,125.6,132.6,453700,676000,524700,755700,365400,291500
