Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,130500,130700,113300,155100,129500,107700
Feb 2005,101,101,101.4,100.6,100.7,100,131800,132000,114900,156100,130400,107700
Mar 2005,102.1,102.1,102.8,101.2,101.2,100,133200,133400,116500,157000,131100,107700
Apr 2005,102.6,102.6,103.7,101.5,101.9,100,133900,134100,117500,157400,132000,107700
May 2005,103.1,103.1,104.5,101.6,102.6,100,134500,134700,118400,157600,132900,107700
Jun 2005,103.5,103.6,105.3,101.7,102.7,100,135100,135400,119300,157700,133000,107700
Jul 2005,103.2,103.2,105.6,100.8,102.8,100,134700,134900,119600,156400,133100,107700
Aug 2005,102.9,102.9,105.7,100,102.1,100,134300,134500,119800,155100,132200,107700
Sep 2005,102.7,102.7,106,99.1,101.5,100,134000,134200,120100,153700,131500,107700
Oct 2005,103.1,103.1,106.2,100,101,100,134500,134800,120300,155100,130800,107700
Nov 2005,103.6,103.7,106.5,100.7,100.5,100,135200,135500,120700,156200,130200,107700
Dec 2005,104.1,104.2,106.9,101.5,99.8,100,135800,136200,121100,157400,129200,107700
Jan 2006,104.7,104.8,107.5,101.9,98.5,100,136600,137000,121800,158100,127500,107700
Feb 2006,105.1,105.3,107.9,102.4,96.9,100,137200,137600,122300,158800,125500,107700
Mar 2006,105.6,105.7,108.5,103,95.1,100,137800,138200,122900,159700,123200,107700
Apr 2006,105.6,105.7,108.9,102.6,93.5,100,137800,138200,123400,159100,121100,107700
May 2006,105.6,105.7,109.3,102.1,92,100,137800,138200,123800,158400,119100,107700
Jun 2006,105.5,105.7,109.6,101.5,89.9,100,137700,138100,124200,157500,116400,107700
Jul 2006,106.1,106.3,109.8,102.5,93.4,101.1,138400,138900,124400,158900,121000,108900
