Year,Prime rate,1 Year Conventional,3 Year Conventional,5 Year Conventional,1 Year Guaranteed,3 Year Guaranteed,5 Year Guaranteed,5 Year Fixed,Daily Interest Savings,Non-Chequable Savings
2005,4.25%,4.90%,5.60%,6.05%,1.43%,2.18%,2.78%,2.53%,0.75%,0.05%
2006,6.00%,6.32%,6.45%,6.60%,2.88%,3.03%,3.13%,2.88%,0.62%,0.05%
2007,6.00%,7.05%,7.30%,7.19%,2.98%,3.13%,3.30%,3.12%,0.50%,0.10%
2008,4.75%,6.95%,7.00%,7.15%,2.13%,2.73%,3.08%,2.95%,0.25%,0.10%
2009,2.25%,3.80%,4.45%,5.79%,0.28%,1.48%,1.98%,1.73%,0.25%,0.05%
2010,2.50%,3.55%,4.15%,5.42%,0.63%,1.43%,1.98%,1.85%,0.20%,0.05%
2011,3.00%,3.50%,4.35%,5.39%,1.00%,1.43%,1.98%,1.85%,0.15%,0.05%
2012,3.00%,3.20%,3.95%,5.24%,0.96%,1.13%,1.63%,1.45%,0.15%,0.05%
2013,3.00%,3.14%,3.73%,5.24%,0.78%,1.13%,1.63%,1.45%,0.15%,0.05%
2014,3.00%,3.14%,3.75%,4.79%,1.30%,1.13%,2.00%,1.45%,0.15%,0.05%
2015,2.85%,2.89%,3.39%,4.64%,0.85%,1.03%,1.50%,1.25%,0.15%,0.01%
2016,2.70%,3.14%,3.39%,4.64%,0.85%,1.15%,1.38%,1.15%,0.05%,0.05%
2017,2.70%,3.14%,3.39%,4.64%,0.73%,1.15%,1.45%,1.05%,0.05%,0.05%
2018,3.45%,3.49%,4.29%,5.34%,0.73%,1.35%,1.60%,1.15%,0.05%,0.05%
2019,3.95%,3.64%,4.29%,5.34%,1.35%,1.80%,2.00%,1.45%,0.05%,0.05%
2020,2.45%,3.19%,3.89%,4.94%,0.55%,0.85%,1.13%,0.88%,0.01%,0.01%
2021,2.45%,2.79%,3.49%,4.79%,0.25%,0.60%,1.00%,0.70%,0.01%,0.01%
2022,3.70%,4.74%,5.39%,6.04%,1.98%,2.75%,2.95%,2.45%,0.01%,0.01%
2023,6.95%,7.14%,6.54%,6.49%,3.25%,3.55%,3.75%,3.17%,0.01%,0.01%
