Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,209500,217500,212500,222400,140600,161600
Feb 2005,99.6,99.5,98.3,100.1,99.9,100.6,208700,216500,208900,222700,140400,162500
Mar 2005,100.1,100.1,99.6,100.3,99.6,101.1,209700,217700,211700,223000,140000,163300
Apr 2005,100.4,100.5,100.3,100.7,99.1,101.1,210400,218600,213100,224000,139300,163300
May 2005,100.9,101,100.5,101,98.6,101.1,211400,219700,213500,224600,138600,163300
Jun 2005,101.1,101.1,100.3,101,98.2,101.1,211700,220000,213100,224700,138000,163300
Jul 2005,102.3,102.5,102.4,102.2,99.7,100.9,214300,222900,217500,227200,140200,163100
Aug 2005,102.7,102.9,102.1,103,101,100.7,215200,223700,216900,229100,142000,162800
Sep 2005,103.6,103.7,102.9,103.7,102.3,100.4,217000,225600,218600,230700,143900,162300
Oct 2005,104.5,104.6,104,104.5,103.2,102.6,218900,227600,221000,232400,145100,165800
Nov 2005,105.3,105.4,104.8,105.2,104.1,104.6,220600,229300,222800,233900,146400,169100
Dec 2005,106.9,107,108.7,106,105,107,223900,232700,231000,235700,147600,172900
Jan 2006,106.3,106.3,106.3,106,105.7,106.6,222600,231200,225900,235800,148600,172200
Feb 2006,106.6,106.6,106.6,106.4,106.3,106.5,223300,231900,226500,236700,149500,172100
Mar 2006,107.1,107.1,107.4,106.6,107,106.3,224300,232900,228200,237000,150400,171800
Apr 2006,107.6,107.6,108.5,106.7,107.9,106.6,225400,234100,230600,237400,151700,172300
May 2006,107.4,107.3,107,107,108.8,106.7,224900,233400,227300,238000,153000,172500
Jun 2006,107.7,107.7,107.3,107.1,109.7,107.1,225700,234200,228100,238300,154300,173000
Jul 2006,107.6,107.5,106.7,107.4,109.9,107.5,225400,233800,226800,238900,154500,173800
Aug 2006,108,107.9,107.5,107.7,110,108,226200,234600,228400,239500,154700,174600
Sep 2006,108.3,108.2,107.6,108.2,110.1,108.4,226900,235300,228700,240600,154800,175100
Oct 2006,108.2,108,107.3,108,110.4,109.8,226700,235000,228000,240300,155200,177500
Nov 2006,108.1,107.8,106.7,108,110.9,111.2,226400,234500,226800,240200,155900,179700
