Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,130200,136100,119900,174200,113400,86000
Feb 2005,100.8,101,102.3,99.6,100.6,100.1,131200,137500,122600,173500,114100,86100
Mar 2005,100,100.2,102,98.7,101.2,100.2,130200,136400,122300,172000,114800,86200
Apr 2005,101.2,101.6,103.7,98.7,101.9,100.3,131800,138300,124300,172000,115500,86300
May 2005,102.6,103.2,105.1,100.7,102.4,100.6,133600,140500,126000,175500,116100,86500
Jun 2005,102.4,102.9,103.9,101.2,103,100.7,133300,140000,124600,176300,116800,86600
Jul 2005,104,104.7,107.6,99.6,104.3,101,135400,142500,129000,173500,118300,86900
Aug 2005,104.9,105.5,106.6,103.1,105.6,101.5,136600,143600,127800,179600,119800,87300
Sep 2005,106.1,106.7,107.4,105.2,107,101.9,138200,145200,128800,183200,121300,87600
Oct 2005,107.5,108.1,109.3,105.7,107.8,102.9,140000,147100,131000,184200,122200,88500
Nov 2005,108.4,108.7,110.4,106.8,108.5,103.8,141100,148000,132400,186000,123000,89300
Dec 2005,110.4,110.7,113.8,105.9,109.2,104.9,143700,150700,136400,184400,123800,90200
Jan 2006,108.4,108.6,111.6,103.9,109,105.7,141100,147800,133800,181000,123600,90900
Feb 2006,106.1,106.1,107.8,104,108.9,106.6,138200,144400,129300,181200,123500,91700
Mar 2006,108.6,109,111.9,105.9,108.7,107.6,141400,148400,134200,184400,123300,92500
Apr 2006,111.4,112,114.3,108.8,110.7,108.5,145100,152400,137100,189500,125500,93300
May 2006,110.9,111.4,112.3,110.6,112.7,109.4,144400,151600,134600,192600,127800,94100
Jun 2006,113.7,114.4,115.5,112.6,114.6,110.3,148100,155700,138500,196200,130000,94900
Jul 2006,115.9,116.8,117.5,115.3,116,111.2,150900,159000,140900,200800,131500,95600
Aug 2006,118.8,119.8,122,115.5,117.2,111.9,154700,163100,146300,201200,132900,96200
Sep 2006,121.7,122.8,125.4,118.2,118.5,112.7,158500,167100,150400,205900,134400,96900
Oct 2006,124.8,125.9,127.7,122.6,121,114.8,162500,171400,153100,213500,137200,98700
Nov 2006,124.9,125.6,126.8,124.7,123.5,117,162600,171000,152000,217200,140000,100600
Dec 2006,131.5,132.5,132.8,132.3,126.1,119.3,171200,180300,159200,230500,143000,102600
Jan 2007,133.9,134.6,133.2,136.8,132.6,126.7,174400,183200,159700,238300,150400,109000
Feb 2007,135.6,135.8,134.5,138.7,139.5,134.7,176600,184800,161300,241700,158200,115800
Mar 2007,147.7,148.6,153.6,142.1,146.8,143,192300,202200,184200,247500,166500,123000
Apr 2007,161.8,162.2,167.2,154.7,159.8,162.4,210600,220800,200500,269500,181200,139700
May 2007,174.8,174.9,181.4,164.9,174,184.3,227600,238000,217500,287200,197300,158500
Jun 2007,187.1,186,189.7,179.9,187.2,205.1,243600,253200,227500,313400,212300,176400
Jul 2007,187.9,186.6,190.2,180.1,192.7,208.1,244600,253900,228100,313700,218500,179000
Aug 2007,191.8,190.2,197.2,178.2,200.2,212.3,249700,258900,236400,310400,227000,182600
Sep 2007,190.6,188.2,193.4,179.4,208.6,217.1,248200,256200,231900,312500,236500,186700
Oct 2007,195.6,193.7,199.2,184.2,207.5,219.7,254700,263600,238800,320900,235300,188900
Nov 2007,200.5,199,205.9,189.1,208.4,221.2,261000,270800,246900,329400,236300,190200
Dec 2007,202.1,200.7,206.9,190.7,209.1,222.6,263100,273100,248100,332200,237100,191400
Jan 2008,204.8,203.8,210.3,192.8,212.3,225.2,266700,277400,252100,335900,240700,193700
Feb 2008,212.9,212.9,217.8,204.8,216.5,229.1,277200,289700,261100,356700,245500,197000
Mar 2008,224.6,225.9,236.2,211.3,221.4,232.6,292400,307500,283200,368000,251100,200000
Apr 2008,219.4,219.7,227.9,206.4,224.1,236.9,285600,299000,273200,359500,254100,203700
May 2008,220.6,220.6,228.6,207.4,227.5,241.4,287200,300300,274100,361300,258000,207600
Jun 2008,219.8,219,229.4,200.7,232.2,248.6,286200,298100,275100,349600,263300,213800
Jul 2008,217.7,217.3,225.8,201.3,226.9,244.3,283500,295700,270700,350700,257300,210100
Aug 2008,214.1,213.7,219.8,201.8,222.8,241,278800,290800,263500,351600,252700,207300
Sep 2008,213.7,213.4,219.4,201.6,220.1,237.9,278200,290400,263100,351200,249600,204600
Oct 2008,206,205.6,211.6,193.5,214.3,230.9,268200,279800,253700,337000,243000,198600
Nov 2008,202.3,202.5,206.8,194.5,210,223.1,263400,275600,248000,338800,238100,191900
Dec 2008,196.2,196.4,200.6,188,205.6,216.2,255400,267300,240500,327500,233100,185900
Jan 2009,197.8,198.8,205.3,185.7,201.4,213.4,257500,270500,246200,323500,228400,183500
Feb 2009,194.1,195,201.4,182.6,198.3,210.6,252700,265400,241500,318100,224900,181100
Mar 2009,192.6,193.7,200.5,182,196,208.4,250800,263600,240400,317100,222300,179200
Apr 2009,195.1,196.6,203.1,184,195.8,207.3,254000,267600,243500,320500,222000,178300
May 2009,195.5,197.4,204.3,183.8,196.3,206.3,254600,268700,245000,320200,222600,177400
Jun 2009,195.3,197.1,202,186,197.4,208.3,254300,268300,242200,324000,223900,179100
