Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,121000,122500,117300,129200,114500,105900
Feb 2005,100.7,100.7,100.6,101.6,99.7,100.3,121800,123400,118000,131300,114200,106200
Mar 2005,101.5,101.5,101.4,102,99.7,100.3,122800,124300,119000,131800,114200,106200
Apr 2005,102,102,102.6,101.7,100.4,101,123400,124900,120300,131400,115000,107000
May 2005,103.1,103,103.1,103.6,101.3,101.7,124700,126200,120900,133800,116000,107700
Jun 2005,103.8,103.8,103.7,104.5,102.2,102.5,125600,127200,121600,135000,117000,108500
Jul 2005,104.8,104.9,106.1,103.8,102.4,103.1,126800,128500,124500,134100,117300,109200
Aug 2005,105.7,105.8,105.7,106.7,102.7,103.8,127900,129600,124000,137800,117600,109900
Sep 2005,106.9,107.1,107.4,107.4,102.8,104.4,129400,131200,126000,138800,117700,110600
Oct 2005,107.8,107.9,107.6,108.8,105.3,105.7,130400,132200,126200,140600,120600,111900
Nov 2005,110.2,110.4,109.3,112.5,107.7,106.8,133300,135200,128200,145400,123300,113100
Dec 2005,109,108.9,109.2,109.7,110,108.2,131900,133400,128100,141700,126000,114600
Jan 2006,111.1,111.2,111,111.7,109.9,108.7,134400,136200,130200,144300,125800,115100
Feb 2006,111.5,111.6,111.8,112.1,110,109.6,134900,136700,131100,144800,125900,116100
Mar 2006,112.5,112.6,112.7,113,110.1,110.5,136100,137900,132200,146000,126100,117000
Apr 2006,114.4,114.6,114.4,115.2,110.7,111.1,138400,140400,134200,148900,126700,117700
May 2006,115.2,115.4,116.3,114.9,111.5,111.8,139400,141400,136400,148500,127700,118400
Jun 2006,115.9,116.1,117.6,114.7,112.3,112.6,140200,142200,138000,148200,128600,119200
Jul 2006,116.4,116.6,116.1,117.9,113.4,113.7,140900,142800,136200,152300,129900,120400
Aug 2006,117.3,117.4,118.5,116.7,114.7,115,141900,143800,139000,150800,131300,121800
Sep 2006,118.4,118.5,118.7,119,115.6,116.3,143300,145200,139200,153800,132400,123200
Oct 2006,120.1,120.2,120.4,120.7,116.9,118,145300,147200,141200,155900,133800,125000
Nov 2006,120.2,120.2,120.9,120,117.7,119.7,145400,147200,141800,155100,134800,126800
Dec 2006,122.1,122.1,123.9,121.1,118.3,121.7,147700,149600,145300,156500,135500,128900
Jan 2007,123.5,123.6,121.8,126.4,119.7,121.3,149400,151400,142900,163300,137100,128500
Feb 2007,125.4,125.7,126.9,125,121,121.4,151700,154000,148800,161500,138600,128600
Mar 2007,126.1,126.5,127.1,126.4,122.4,121.5,152600,155000,149100,163300,140200,128700
Apr 2007,127.2,127.3,127.8,127.2,124.6,123.8,153900,156000,149900,164300,142700,131100
May 2007,129.6,129.8,130.2,130,127.1,126,156800,159000,152700,167900,145500,133400
Jun 2007,133.1,133.3,133.8,133.4,129.8,128.2,161000,163300,156900,172400,148600,135800
Jul 2007,134.6,134.9,135.8,134.7,130.7,130.2,162900,165300,159300,174000,149600,137900
Aug 2007,135.9,136.1,136.3,136.6,131.4,132,164400,166700,159900,176500,150500,139800
Sep 2007,136.9,137.1,138.4,136.1,132.4,134.1,165700,168000,162400,175900,151600,142000
Oct 2007,139.3,139.8,141.9,137.7,134.1,135.1,168600,171200,166500,177900,153600,143100
Nov 2007,141.6,142,144.1,140.6,135.5,136.3,171300,174000,169000,181700,155100,144300
Dec 2007,145.2,145.9,146.6,146.1,136.7,137.5,175700,178700,172000,188800,156500,145600
Jan 2008,147,147.8,149.4,145.8,141,139.1,177900,181000,175200,188400,161400,147300
Feb 2008,147,147.4,148.4,147,144.9,141.1,177900,180600,174100,189900,165900,149400
Mar 2008,150.2,150.5,151.8,149.9,148.4,144,181700,184400,178100,193700,169900,152500
Apr 2008,151,151.3,152.8,150.2,148.6,144.2,182700,185400,179200,194000,170200,152700
May 2008,150.7,151.1,151.6,151.4,148.6,144.4,182300,185100,177800,195600,170100,152900
Jun 2008,149.8,150.1,151.1,150,148.2,144.2,181200,183900,177200,193800,169700,152700
Jul 2008,150.7,151.1,152.2,150.9,150.2,144,182400,185100,178500,195000,172000,152500
Aug 2008,151.4,151.8,154,150,150.9,143.2,183200,186000,180700,193800,172800,151700
Sep 2008,150.9,151.4,153.7,149.5,152.1,142.8,182600,185500,180300,193100,174200,151200
Oct 2008,149.4,149.8,151.5,148.7,151.4,141.5,180800,183500,177700,192100,173400,149900
Nov 2008,147.8,148.1,149.8,147.1,150.4,140.8,178800,181400,175700,190100,172200,149100
Dec 2008,146,146.3,146.8,146.8,148.8,139.8,176600,179200,172200,189700,170400,148000
Jan 2009,146.8,147.1,148.7,145.5,150,139.5,177600,180200,174400,188000,171800,147700
Feb 2009,149.8,150.6,152.1,149.6,149.4,139.2,181200,184500,178400,193300,171100,147400
Mar 2009,149.6,150.1,152.5,148.4,150.1,140.2,181000,183900,178900,191700,171900,148500
Apr 2009,149.9,150.6,150.8,151,149.4,141.2,181400,184500,176900,195100,171100,149500
May 2009,152.6,153.3,156.3,150.9,150.1,142.7,184600,187800,183300,194900,171900,151100
Jun 2009,154.6,155.4,156.9,154.8,150.4,144.8,187100,190400,184000,200000,172200,153300
Jul 2009,155.6,156.4,158.5,155,152.4,145.8,188300,191600,185900,200300,174500,154400
Aug 2009,157.4,158.4,160.6,156.9,154.1,146.6,190500,194100,188400,202700,176500,155300
Sep 2009,160.2,161.2,162.1,161.5,157.5,147.5,193900,197500,190200,208600,180300,156200
Oct 2009,161.5,162.4,163.1,163.2,159.5,149,195400,199000,191300,210900,182600,157800
Nov 2009,163.9,164.9,165.8,165.2,161.2,151.7,198300,202000,194500,213400,184600,160600
Dec 2009,165.3,166.3,168,165.6,162.4,153.6,200000,203700,197100,213900,185900,162700
Jan 2010,166.5,167.5,169.3,165.7,159.2,156.6,201500,205200,198600,214100,182300,165800
