Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,112500,114100,104200,143500,110100,90300
Feb 2005,100.3,100.4,100.5,99.7,100.5,99.8,112800,114600,104700,143100,110600,90100
Mar 2005,99.6,99.7,100.3,99.2,101,99.4,112100,113800,104500,142300,111200,89800
Apr 2005,100.4,100.6,101.4,99.3,101.5,99.2,112900,114800,105700,142500,111700,89600
May 2005,101.2,101.5,102.3,100.4,102,99,113800,115800,106600,144100,112300,89400
Jun 2005,101.3,101.7,102,100.6,102.5,98.7,114000,116000,106300,144300,112800,89100
Jul 2005,102.8,103.3,104.6,99.6,102.9,99.7,115600,117900,109000,142900,113300,90000
Aug 2005,103.6,104,104.4,101.8,103.4,100.7,116500,118700,108800,146100,113800,90900
Sep 2005,104.7,105,105.3,103.3,103.8,101.7,117800,119800,109700,148200,114300,91800
Oct 2005,105.6,105.9,106.1,104.3,104.4,103,118800,120800,110600,149700,114900,93000
Nov 2005,106.9,107.2,107.5,105.8,104.8,104.3,120300,122300,112000,151800,115400,94200
Dec 2005,107.6,107.5,108.5,106,105.4,105.8,121000,122700,113100,152100,116000,95500
Jan 2006,106.9,107,107.9,105,106.2,106.2,120300,122100,112400,150700,116900,95900
Feb 2006,105.8,105.8,105.8,105.4,107.1,106.6,119000,120700,110200,151200,117900,96300
Mar 2006,107.2,107.3,107.9,106.6,108,107.1,120600,122400,112400,153000,118900,96700
Apr 2006,108.7,108.9,109.2,108.7,109.5,108.4,122300,124200,113800,156000,120600,97900
May 2006,109,109.1,109.1,109.6,111.1,109.7,122600,124500,113700,157300,122300,99100
