Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,193300,213600,205000,239200,139400,97700
Feb 2005,102.2,102.1,102,102.6,103.7,101.8,197600,218100,209000,245500,144600,99500
Mar 2005,104.3,104.2,103.9,105.1,107,103.8,201700,222600,212900,251300,149100,101400
Apr 2005,105.9,105.8,105.5,106.6,107.2,106.7,204700,225900,216200,255100,149400,104200
May 2005,107.3,107.2,107,107.7,107.4,109.7,207500,228900,219300,257700,149700,107200
Jun 2005,108.8,108.6,108.5,109,107.9,112.8,210300,231900,222500,260700,150400,110200
Jul 2005,110.9,110.6,110.6,110.7,111,113.9,214300,236200,226700,264700,154800,111300
Aug 2005,113,112.6,112.6,112.8,114.3,115.4,218400,240600,230800,269800,159300,112700
Sep 2005,115.2,114.7,114.6,115,117.6,117.1,222600,245000,235000,275000,163900,114400
Oct 2005,117.1,116.6,116.5,117.1,119.3,120.1,226400,249100,238800,280000,166300,117300
Nov 2005,119.1,118.6,118.4,119.4,121.3,122.7,230200,253300,242700,285500,169100,119900
Dec 2005,121.1,120.6,120.3,121.7,123,125.3,234100,257500,246600,291100,171500,122400
Jan 2006,122.8,122.2,122.3,122.2,124.9,129.3,237300,261100,250700,292400,174100,126300
Feb 2006,124.4,123.8,124,123,126.3,133.8,240500,264500,254300,294300,176000,130700
Mar 2006,125.7,125.2,125.9,123.4,127.2,137.8,243000,267500,258000,295200,177300,134600
Apr 2006,127.2,126.8,127.3,125.5,129,139.4,245900,270800,261000,300100,179800,136200
May 2006,128.5,128.2,128.7,127.2,130.5,141.5,248400,273800,263800,304200,181900,138200
Jun 2006,130,129.6,130,128.9,132.9,143.6,251200,276900,266500,308300,185300,140300
Jul 2006,130.5,130.2,130.7,129.3,134.1,144.7,252300,278100,267900,309300,187000,141400
Aug 2006,131.1,130.9,131.4,129.8,135.4,146.4,253400,279500,269300,310400,188800,143000
Sep 2006,131.8,131.6,132,130.6,136.8,148.2,254700,281100,270700,312500,190700,144800
Oct 2006,132.3,132.4,132.9,131.3,137.4,147.9,255800,282700,272400,314000,191600,144500
